"route_name","headway_minutes"
"순환01A(계수초->시청->조선대)","10"
"순환01B(계수초->운천저수지->조선대)","10"
"좌석02","7"
"수완03","7"
"매월06","9"
"진월07","5"
"첨단09","7"
"일곡10","10"
"수완12","12"
"선운14","10"
"지원15","10"
"매월16","15"
"진월17","8"
"문흥18","5"
"송정19","11"
"첨단20","10"
"첨단22","17"
"첨단23","10"
"지원25","5"
"매월26","7"
"봉선27","8"
"일곡28","8"
"송정29","9"
"첨단30","12"
"송암31","20"
"송정33","20"
"운림35","14"
"금호36","11"
"봉선37","9"
"일곡38","10"
"문흥39","15"
"첨단40","20"
"지원45","8"
"금호46","15"
"송암47","15"
"수완49","20"
"운림50","15"
"운림51","6"
"지원52-1","20"
"지원52","50"
"문흥53","15"
"운림54","5"
"금남55","15"
"지원56","15"
"금남57","10"
"금남58","13"
"금남59","15"
"양산60","13"
"매월61","20"
"상무62(시청경유상무역행)","30"
"상무62(상무역경유시청행)","30"
"상무63","27"
"상무64","18"
"유덕65","25"
"송암68","15"
"대촌69","55"
"대촌70","30"
"대촌71","150"
"송암72","11"
"송암73","11"
"송암74","15"
"진월75","15"
"봉선76","30"
"진월77","25"
"진월78","50"
"진월79","20"
"문흥80","20"
"두암81(각화초교.장등마을)","30"
"두암81(무등파크.장등마을)","30"
"두암81(각화초교.장등동)","30"
"두암81(무등파크.장등동)","30"
"용봉83","15"
"용전84","20"
"용전85","15"
"용전86","25"
"석곡87","20"
"임곡89","40"
"임곡90","40"
"임곡91","165"
"첨단92","30"
"송정93","20"
"첨단94","35"
"첨단95","10"
"송정96","65"
"송정97","60"
"송정97(봉정행)","60"
"송정98","9"
"송정99","250"
"송정100","65"
"선운101(송산유원지)","20"
"선운101(빛그린산단)","20"
"지원152(능주역)","35"
"지원152(도웅리)","35"
"대촌170","35"
"대촌171","30"
"진월177","50"
"두암181","130"
"용전184","40"
"충효187","40"
"충효188","90"
"첨단192","140"
"첨단193","180"
"진곡196","17"
"송정197","140"
"228(구151.화순전대병원)","25"
"228(구151.화순사평)","25"
"대촌270","150"
"임곡290","225"
"송정296","40"
"419","25"
"518","20"
"마을788","35"
"1187","23"
"1187-1","25"
"마을700","14"
"마을715","60"
"마을720","7"
"마을760","18"
"마을777(평일운행)","13"
"마을777(주말운행)","30"
