버스번호,기점,종점,상행 정류장수,상행 정류장(순서대로),하행 정류장수,하행 정류장(순서대로)
순환01,세하동,세하동,50,세하동 ▶ 서창농협벽진지점 ▶ 김대중컨벤션센터(마륵)역(북) ▶ 5.18자유공원 ▶ 상무금호아파트 ▶ 계수초교 ▶ 상무대우아파트 ▶ 시청 ▶ 버들마을 ▶ 광주종합버스터미널 ▶ 광천치안센터 ▶ 경신여고 ▶ 신안교 ▶ 전남대사거리(동) ▶ 광주역육교 ▶ 전대동창회관 ▶ 서방사거리 ▶ 교육대 ▶ 풍향시장 ▶ 산수오거리 ▶ 법원입구 ▶ 살레시오여고 ▶ 조선대 ▶ 남광주역 ▶ 양림휴먼시아2차 ▶ 양림휴먼시아1차 ▶ 남광주농협 ▶ 백운우체국 ▶ 무등시장입구(남) ▶ 서남하이츠(국제양궁장) ▶ 원광대한방병원 ▶ 풍암우미아파트 ▶ 풍암한국아파트 ▶ 풍암한신아파트 ▶ 풍암모아아파트 ▶ 마재우체국 ▶ 마재대주아파트 ▶ 서구문화센터 ▶ 금호시영아파트 ▶ CBS방송국 ▶ 상무중 ▶ 운천저수지 ▶ 상무지구입구 ▶ 상무쌍용금호아파트 ▶ 계수초교 ▶ 상무금호아파트 ▶ 5.18자유공원 ▶ 김대중컨벤션센터(마륵)역 ▶ 서창농협벽진지점 ▶ 세하동,0,
좌석02,무등산국립공원(증심사),한국에너지공과대학교,45,무등산국립공원(증심사) ▶ 성촌마을.전통문화관 ▶ 운림중 ▶ 연진회미술원 ▶ 홍림교 ▶ 학동무등파크 ▶ 학동증심사입구역 ▶ 조선대병원 ▶ 조선대공과대학 ▶ 서남동행정복지센터 ▶ 국립아시아문화전당(구.도청) ▶ 예술의거리입구 ▶ 대인시장(서) ▶ 동부소방서 ▶ 광주역 ▶ 전남대사거리(서) ▶ 경신여고 ▶ 광천치안센터 ▶ 광주종합버스터미널 ▶ 버들마을 ▶ 시청 ▶ 한국은행 ▶ 한국국토정보공사 ▶ 한국수자원공사 ▶ 농협운천지점 ▶ 5.18자유공원 ▶ 김대중컨벤션센터(마륵)역 ▶ 서창입구 ▶ 공항역 ▶ 송정공원역 ▶ 영광통 ▶ 광주송정역 ▶ 신동사거리 ▶ 도산역 ▶ 상선 ▶ 동곡 ▶ 전력거래소 ▶ 문화예술위원회 ▶ 호수공원 ▶ 우정사업정보센터 ▶ 한빛1교 ▶ 매성고 ▶ 부영3단지 ▶ 한국에너지공과대학교입구 ▶ 한국에너지공과대학교,45,한국에너지공과대학교 ▶ 한국에너지공과대학교입구 ▶ 부영3단지 ▶ 매성고 ▶ 한빛1교 ▶ 국립전파연구원 ▶ 빛가람행정복지센터 ▶ 한전KDN ▶ 한국농촌경제연구원 ▶ 동곡 ▶ 상선 ▶ 도산역 ▶ 신동사거리 ▶ 광주송정역 ▶ 영광통 ▶ 송정공원역 ▶ 공항역 ▶ 서창입구 ▶ 김대중컨벤션센터(마륵)역(북) ▶ 5.18자유공원 ▶ 농협운천지점 ▶ 한국수자원공사 ▶ 한국국토정보공사 ▶ 한국은행 ▶ 시청 ▶ 버들마을 ▶ 광주종합버스터미널 ▶ 광천치안센터 ▶ 경신여고 ▶ 전남대사거리(서) ▶ 광주역 ▶ 동부소방서 ▶ 대인시장(서) ▶ 국립아시아문화전당(구.도청) ▶ 서남동행정복지센터 ▶ 조선대공과대학 ▶ 조선대병원 ▶ 학동증심사입구역 ▶ 학2마을아파트 ▶ 학동평화맨션 ▶ 홍림교 ▶ 연진회미술원 ▶ 운림중 ▶ 성촌마을.전통문화관 ▶ 무등산국립공원(증심사)
수완03,폭스존,송원대,37,폭스존 ▶ 우편집중국 ▶ 첨단사거리 ▶ 응암공원 ▶ 수완우미린2차 ▶ 수완현진에버빌1차 ▶ 수완모아엘가 ▶ 광주농수산물유통센터(북) ▶ 수완중흥S-클래스 1차 ▶ 목련마을6단지 ▶ 운남삼성아파트 ▶ 광주종합버스터미널 ▶ 광천치안센터 ▶ 경신여고 ▶ 전남대사거리(동) ▶ 교육대 ▶ 산수오거리 ▶ 살레시오여고 ▶ 조선대 ▶ 남광주역 ▶ 남광주농협 ▶ 대광여고 ▶ 대성여고 ▶ 동성고 ▶ 금호타운아파트 ▶ 광주대 ▶ 구암 ▶ 빛고을CC ▶ 신기교 ▶ 대동마을 ▶ 효천초교 ▶ 입암 ▶ 광곡입구/빛여울초교 ▶ 광주김치타운입구 ▶ 입하마을 ▶ 송암공단입구 ▶ 송원대,37,송원대 ▶ 송암공단입구 ▶ 입하마을 ▶ 광주김치타운입구 ▶ 광곡입구/빛여울초교 ▶ 입암 ▶ 효천초교 ▶ 대동마을 ▶ 신기교 ▶ 빛고을CC ▶ 구암 ▶ 광주대 ▶ 금호타운아파트 ▶ 동성고 ▶ 대성여고 ▶ 대광여고 ▶ 남광주농협 ▶ 남광주역 ▶ 조선대 ▶ 살레시오여고 ▶ 산수오거리 ▶ 교육대 ▶ 전남대사거리(동) ▶ 경신여고 ▶ 광천치안센터 ▶ 광주종합버스터미널 ▶ 운남삼성아파트 ▶ 목련마을6단지 ▶ 수완중흥S-클래스 1차 ▶ 광주농수산물유통센터(북) ▶ 수완모아엘가 ▶ 수완현진에버빌1차 ▶ 수완우미린2차 ▶ 응암공원 ▶ 첨단사거리 ▶ 우편집중국 ▶ 폭스존
매월06,매월동(북),장등동,31,매월동(북) ▶ 대동고 ▶ 화훼단지 ▶ 풍암사거리(동) ▶ 마재대주아파트 ▶ 서구문화센터 ▶ 금호모아아파트 ▶ 월드컵경기장 ▶ 월산마을 ▶ 월산5동 ▶ 신우아파트 ▶ 주월주택단지 ▶ 백운우체국 ▶ 까치고개 ▶ 대성사거리 ▶ 대성초교 ▶ 향교 ▶ 충장치안센터 ▶ 예술의거리입구 ▶ 대인시장(동) ▶ 광주고/4.19역사관 ▶ 서방사거리육교 ▶ 서방시장(남) ▶ 동강대 ▶ 말바우시장(동) ▶ 무등도서관 ▶ 광주병원 ▶ 농산물공판장 ▶ 문흥지구입구(남) ▶ 문흥지구입구(동) ▶ 장등동,30,장등동 ▶ 문흥지구입구(남) ▶ 농산물공판장 ▶ 광주병원 ▶ 무등도서관 ▶ 말바우시장(동) ▶ 동강대 ▶ 서방시장(남) ▶ 서방사거리육교 ▶ 광주고/4.19역사관 ▶ 대인시장(동) ▶ 예술의거리입구 ▶ 충장동행정복지센터 ▶ 향교 ▶ 대성초교 ▶ 대성사거리 ▶ 까치고개 ▶ 백운우체국 ▶ 주월주택단지 ▶ 신우아파트 ▶ 월산5동 ▶ 월산마을 ▶ 월드컵경기장 ▶ 금호모아아파트 ▶ 서구문화센터 ▶ 마재대주아파트 ▶ 풍암사거리(동) ▶ 화훼단지 ▶ 대동고 ▶ 매월동(북)
진월07,송암공단(세영운수),살레시오고/교통문화연수원,35,송암공단(세영운수) ▶ 송원대 ▶ 송암공단입구 ▶ 송하삼익아파트 ▶ 광주대입구 ▶ 동성고 ▶ 대성여고 ▶ 진월대주아파트 ▶ 대광여고 ▶ 백운광장 ▶ 백운우체국 ▶ 까치고개 ▶ 대성사거리 ▶ 대성초교 ▶ 향교 ▶ 충장치안센터 ▶ 예술의거리입구 ▶ 대인시장(서) ▶ 동부소방서 ▶ 수창초교후문 ▶ 유동사거리 ▶ 엔씨백화점 ▶ 광주역 ▶ 전남대사거리(동) ▶ 효동초교입구 ▶ 전남대스포츠센터 ▶ 도로교통공단 대신파크 ▶ 오치한전 ▶ 북부경찰서 ▶ 광주공고입구 ▶ 고려고 ▶ 국제고 ▶ 일곡사거리 ▶ 서일초교 ▶ 살레시오고/교통문화연수원,32,살레시오고/교통문화연수원 ▶ 서일초교 ▶ 일곡사거리 ▶ 국제고 ▶ 고려고 ▶ 광주공고입구 ▶ 북부경찰서 ▶ 오치한전 ▶ 도로교통공단 대신파크 ▶ 전남대스포츠센터 ▶ 효동초교입구 ▶ 전남대사거리(동) ▶ 광주역 ▶ 유동사거리 ▶ 광주일고.광주고용센터 ▶ 금남로5가역 ▶ 금남로4가역 ▶ 충장동행정복지센터 ▶ 향교 ▶ 대성초교 ▶ 대성사거리 ▶ 까치고개 ▶ 백운우체국 ▶ 백운광장 ▶ 대광여고 ▶ 진월대주아파트 ▶ 대성여고 ▶ 동성고 ▶ 송하삼익아파트 ▶ 송암공단입구 ▶ 송원대 ▶ 송암공단(세영운수)
첨단09,첨단종점,무등산국립공원(증심사),41,첨단종점 ▶ 고내입구 ▶ 한국광기술원 ▶ 산업인력공단 ▶ 국립광주과학관 ▶ 한국생산기술연구원 ▶ 쌍암공원 ▶ 월계중 ▶ 응암공원 ▶ 첨단라인아파트 ▶ 첨단2동행정복지센터 ▶ 무양서원입구 ▶ 남부대 ▶ 신창초교 ▶ 신창중 ▶ 신창동우체국 ▶ 신가중 ▶ 신가우미아파트 ▶ 신가주공아파트 ▶ 신가사거리 ▶ 풍영정입구 ▶ 동천마을3단지 ▶ 유덕초교 ▶ 광명하이츠후문 ▶ 광주종합버스터미널 ▶ 현대자동차 ▶ 북성중 ▶ 광주일고.광주고용센터 ▶ 금남로5가역 ▶ 금남로4가역 ▶ 국립아시아문화전당(구.도청) ▶ 문화전당역 ▶ 전남대병원.남광주시장 ▶ 조선대병원 ▶ 학동증심사입구역 ▶ 학2마을아파트 ▶ 학동평화맨션 ▶ 홍림교 ▶ 연진회미술원 ▶ 운림중 ▶ 무등산국립공원(증심사),39,무등산국립공원(증심사) ▶ 운림중 ▶ 연진회미술원 ▶ 홍림교 ▶ 학동무등파크 ▶ 학동증심사입구역 ▶ 조선대병원 ▶ 전남대병원.남광주시장 ▶ 문화전당역 ▶ 국립아시아문화전당(구.도청) ▶ 금남로4가역 ▶ 금남로5가역 ▶ 광주일고.광주고용센터 ▶ 북성중 ▶ 현대자동차 ▶ 광주종합버스터미널 ▶ 광명하이츠후문 ▶ 유덕초교 ▶ 동천마을3단지 ▶ 풍영정입구 ▶ 신가사거리 ▶ 신가주공아파트 ▶ 신가우미아파트 ▶ 신가중 ▶ 신창동우체국 ▶ 신창중 ▶ 신창초교 ▶ 남부대 ▶ 무양서원입구 ▶ 첨단2동행정복지센터 ▶ 첨단라인아파트 ▶ 응암공원 ▶ 월계중 ▶ 쌍암공원 ▶ 한국생산기술연구원 ▶ 국립광주과학관 ▶ 산업인력공단 ▶ 한국광기술원 ▶ 첨단종점
일곡10,살레시오고/교통문화연수원,진곡산단,60,살레시오고/교통문화연수원 ▶ 살레시오고입구 ▶ 일곡삼호아파트 ▶ 서일초교 ▶ 일곡초교 ▶ 일곡사거리 ▶ 향토음식박물관 ▶ 양지마을 ▶ 양지초교 ▶ 양산택지사거리 ▶ 광주은행양산동지점 ▶ 양산타운 ▶ 용두주공 ▶ 복룡입구(일곡10) ▶ 빛고을고입구 ▶ 신용초등학교 ▶ 첨단휴먼시아 ▶ 보훈병원후문 ▶ 봉산중 ▶ 무양서원입구 ▶ 첨단2동행정복지센터 ▶ 첨단사거리 ▶ 첨단라인아파트 ▶ 응암공원 ▶ 도천저수지 ▶ 도촌제 ▶ 골옷교 ▶ 수완양우내안애 ▶ 고실마을 ▶ 수완영무예다음 ▶ 수완현진에버빌1차 ▶ 성덕교 ▶ 은빛마을 ▶ 신창부영2차아파트 ▶ 신창동우체국 ▶ 신가중 ▶ 신가우미아파트 ▶ 신가주공아파트 ▶ 신가사거리 ▶ 극락강역입구 ▶ 신가동 ▶ 목련마을 ▶ 목련마을6단지 ▶ 운남삼성아파트 ▶ 광산구노인복지관 ▶ 영천초교 ▶ 월곡2동행정복지센터 ▶ 산정초교 ▶ 다사로움1차아파트 ▶ 하남2지구 ▶ 지실마을 ▶ 장수동 ▶ 구강리 ▶ 한국자동차연구원 ▶ 현대위아 ▶ RTM ▶ 수호 ▶ LG전자광주물류센터 ▶ 케이엔 ▶ 진곡산단,60,진곡산단 ▶ 케이엔 ▶ LG전자광주물류센터 ▶ 수호 ▶ RTM ▶ 현대위아 ▶ 한국자동차연구원 ▶ 구강리 ▶ 장수동 ▶ 지실마을 ▶ 하남2지구 ▶ 다사로움1차아파트 ▶ 산정초교 ▶ 월곡2동행정복지센터 ▶ 영천초교 ▶ 광산구노인복지관 ▶ 운남삼성아파트 ▶ 목련마을6단지 ▶ 목련마을 ▶ 신가동 ▶ 신가사거리 ▶ 신가주공아파트 ▶ 신가우미아파트 ▶ 신가중 ▶ 신창동우체국 ▶ 신창부영2차아파트 ▶ 은빛마을 ▶ 성덕교 ▶ 수완현진에버빌1차 ▶ 수완영무예다음 ▶ 고실마을 ▶ 수완양우내안애 ▶ 골옷교 ▶ 도촌제 ▶ 도천저수지 ▶ 응암공원 ▶ 첨단라인아파트 ▶ 첨단사거리 ▶ 첨단2동행정복지센터 ▶ 무양서원입구 ▶ 봉산중 ▶ 보훈병원후문 ▶ 첨단휴먼시아 ▶ 신용초등학교 ▶ 빛고을고입구 ▶ 첨단2부영사랑으로아파트 ▶ 복룡입구 ▶ 용두주공 ▶ 양산타운 ▶ 광주은행양산동지점 ▶ 양산택지사거리 ▶ 양지초교 ▶ 양지마을 ▶ 향토음식박물관 ▶ 일곡사거리 ▶ 일곡초교 ▶ 서일초교 ▶ 일곡삼호아파트 ▶ 살레시오고입구 ▶ 살레시오고/교통문화연수원
수완12,무등산국립공원(증심사),돈보스코학교,56,무등산국립공원(증심사) ▶ 성촌마을.전통문화관 ▶ 학운초교 ▶ 동산마을입구 ▶ 운림중 ▶ 연진회미술원 ▶ 홍림교 ▶ 학동무등파크 ▶ 학동증심사입구역 ▶ 조선대병원 ▶ 전남대병원.남광주시장 ▶ 전남대병원오거리/남동성당 ▶ 문화전당역 ▶ 국립아시아문화전당(구.도청) ▶ 충장동행정복지센터 ▶ 향교 ▶ 대성초교 ▶ 대성사거리 ▶ 까치고개 ▶ 백운초교(북) ▶ 백운우체국 ▶ 주월주택단지 ▶ 신우아파트 ▶ 월산5동 ▶ 월산4동 ▶ 건강협회 ▶ 상공회의소 ▶ 화정중흥파크 ▶ 신세계백화점(북) ▶ 광천치안센터 ▶ 운암도서관 ▶ 운암중 ▶ 운암우미아파트 ▶ 시립장애인복지관 ▶ 동림푸른마을 ▶ 산동교 ▶ 반촌/마한유적체험관 ▶ 보건대입구 ▶ 전남공고입구 ▶ 신창용수마을 ▶ 신창초교 ▶ 신창중 ▶ 신창부영2차아파트 ▶ 은빛마을 ▶ 수완모아엘가 ▶ 광주농수산물유통센터(북) ▶ 광주농수산물유통센터(서) ▶ 수완중흥S-클래스 2차 ▶ 흑석사거리(동) ▶ 흑석사거리(서) ▶ 광산세무서 ▶ 하남초교 ▶ 하남2지구 ▶ 하남1교 ▶ 하남3지구모아엘가 ▶ 돈보스코학교,60,돈보스코학교 ▶ 하남3지구모아엘가 ▶ 하남1교 ▶ 하남2지구 ▶ 하남초교 ▶ 광산세무서 ▶ 흑석사거리(서) ▶ 흑석사거리(동) ▶ 수완중흥S-클래스 2차 ▶ 광주농수산물유통센터(서) ▶ 광주농수산물유통센터(북) ▶ 수완모아엘가 ▶ 성덕교 ▶ 은빛마을 ▶ 신창부영2차아파트 ▶ 신창중 ▶ 신창초교 ▶ 신창용수마을 ▶ 전남공고입구 ▶ 보건대입구 ▶ 반촌/마한유적체험관 ▶ 산동교 ▶ 동림푸른마을 ▶ 시립장애인복지관 ▶ 운암우미아파트 ▶ 운암중 ▶ 운암도서관 ▶ 운암벽산블루밍 ▶ 광주예술의전당 ▶ 광천치안센터 ▶ 신세계백화점 ▶ 화정중흥파크 ▶ 상공회의소 ▶ 건강협회 ▶ 월산4동 ▶ 월산5동 ▶ 신우아파트 ▶ 주월주택단지 ▶ 백운우체국 ▶ 까치고개 ▶ 대성사거리 ▶ 대성초교 ▶ 향교 ▶ 중앙대교(서) ▶ 충장치안센터 ▶ 국립아시아문화전당(구.도청) ▶ 문화전당역 ▶ 전남대병원오거리/남동성당 ▶ 전남대병원.남광주시장 ▶ 남광주사거리 ▶ 조선대병원 ▶ 학동증심사입구역 ▶ 학2마을아파트 ▶ 학동평화맨션 ▶ 홍림교 ▶ 연진회미술원 ▶ 운림중 ▶ 학운초교 ▶ 성촌마을.전통문화관 ▶ 무등산국립공원(증심사)
선운14,송산유원지(종점),신세계백화점,25,송산유원지(종점) ▶ 송산유원지 ▶ 동명고 ▶ 서봉마을 ▶ 샛터마을 ▶ 호남대 ▶ 선암 ▶ 선운중학교 ▶ 선운휴먼시아 ▶ 선운리버프라임아파트 ▶ 운수마을 ▶ 광주무역회관 ▶ 한국은행 ▶ 한국국토정보공사 ▶ 대우디오빌 ▶ 상무병원 ▶ 5.18기념공원 ▶ 5.18기념문화센터 ▶ 모아제일아파트 ▶ 쌍촌현대아파트 ▶ 솔뫼타운 ▶ 해태아파트 ▶ 기아자동차 ▶ 광주종합버스터미널 ▶ 신세계백화점,24,신세계백화점 ▶ 화정무등파크 ▶ 해태아파트 ▶ 쌍촌현대아파트 ▶ 모아제일아파트 ▶ 5.18기념문화센터 ▶ 5.18기념공원 ▶ 상무병원 ▶ 대우디오빌 ▶ 한국수자원공사 ▶ 한국국토정보공사 ▶ 한국은행 ▶ 광주무역회관 ▶ 운수마을 ▶ 선운리버프라임아파트 ▶ 선운휴먼시아 ▶ 선운중학교 ▶ 선암 ▶ 호남대 ▶ 샛터마을 ▶ 서봉마을 ▶ 동명고 ▶ 송산유원지 ▶ 송산유원지(종점)
지원15,월남동,태령,51,월남동 ▶ 주남 ▶ 녹동 ▶ 지원화훼단지 ▶ 지원2동행정복지센터입구 ▶ 소태역 ▶ 광주남초교 ▶ 동구문화센터 ▶ 삼익세라믹 ▶ 학동증심사입구역 ▶ 조선대병원 ▶ 조선대공과대학 ▶ 조선대 ▶ 살레시오여고 ▶ 법원입구 ▶ 산수오거리 ▶ 두암지구입구 ▶ 풍향삼거리 ▶ 교육대 ▶ 서방시장(남) ▶ 동강대 ▶ 말바우시장(동) ▶ 무등도서관 ▶ 문화중 ▶ 현대아파트 ▶ 우산주공1단지 ▶ 성산맨션 ▶ 도로교통공단 대신파크 ▶ 오치한전 ▶ 서산초교 ▶ 오치1동행정복지센터 ▶ 31사단 ▶ 원삼각마을삼일아파트 ▶ 일곡사거리 ▶ 일곡초교 ▶ 서일초교 ▶ 일곡삼호아파트 ▶ 명상의집 ▶ 우치공원 ▶ 생룡 ▶ 지산마을 ▶ 용전사거리(북) ▶ 대진운수 ▶ 용전입구 ▶ 전통공예문화학교 ▶ 효령노인복지타운 ▶ 북초교 ▶ 수곡 ▶ 두촌 ▶ 단지삼거리 ▶ 태령,50,태령 ▶ 단지삼거리 ▶ 두촌 ▶ 수곡 ▶ 북초교 ▶ 효령노인복지타운 ▶ 전통공예문화학교 ▶ 용전입구 ▶ 용전사거리(북) ▶ 지산마을 ▶ 생룡 ▶ 우치공원 ▶ 명상의집 ▶ 일곡삼호아파트 ▶ 서일초교 ▶ 일곡초교 ▶ 일곡사거리 ▶ 양일로입구 ▶ 원삼각마을삼일아파트 ▶ 31사단 ▶ 오치1동행정복지센터 ▶ 서산초교 ▶ 오치한전 ▶ 도로교통공단 대신파크 ▶ 우산주공1단지 ▶ 현대아파트 ▶ 문화중 ▶ 무등도서관 ▶ 말바우시장(동) ▶ 말바우시장(남) ▶ 동강대 ▶ 서방시장(북) ▶ 교육대 ▶ 풍향삼거리 ▶ 두암지구입구 ▶ 산수오거리 ▶ 법원입구 ▶ 살레시오여고 ▶ 조선대 ▶ 조선대공과대학 ▶ 남광주사거리 ▶ 조선대병원 ▶ 학동증심사입구역 ▶ 삼익세라믹 ▶ 동구문화센터 ▶ 광주남초교 ▶ 소태역 ▶ 지원2동행정복지센터입구 ▶ 녹동 ▶ 월남동
