기존 노선,신규(대체) 노선
순환01,"1, 11"
좌석02,"1001, 1002, 1003"
수완03,"03, 급행03, 80"
매월06,"06, 급행06"
진월07,"07, 07-1"
첨단09,09
일곡10,"22, 10, 10-1"
수완12,12
선운14,14
지원15,15
매월16,"13, 16"
진월17,"17, 17-1"
문흥18,"18, 10"
송정19,19
첨단20,"20, 20-1"
첨단22,22
첨단23,23
지원25,"25, 39"
매월26,26
봉선27,"27, 35"
일곡28,28
송정29,29
첨단30,"25, 30, 57"
송암31,"31, 88"
송정33,"33, 43"
운림35,"01, 35"
금호36,36
봉선37,"37, 58, 58-1"
일곡38,"38, 07-1, 14"
문흥39,"34, 39"
첨단40,40
지원45,"11, 45"
금호46,"46, 41"
송암47,"47, 47-1"
수완49,"34, 49"
운림50,50
운림51,51
지원52,"56, 61, 61-1"
지원52-1,61
문흥53,"53, 53-1"
운림54,54
금남55,55
지원56,56
금남57,"30, 57"
금남58,"58, 58-1"
금남59,"59, 76"
양산60,60
매월61,"06, 급행06, 61, 61-1"
상무62,62
상무63,"63, 63-1"
상무64,64
유덕65,"50, 1187"
송암68,68
대촌69,63
대촌70,"70, 70-1"
대촌71,63-1
송암72,"72, 48"
송암73,"17-1, 73"
송암74,"74, 88"
진월75,75
봉선76,66
진월77,78
진월78,"66, 79"
진월79,"73, 77"
문흥80,80
두암81,"81, 87"
용봉83,64
용전84,85
용전85,85-1
용전86,84
석곡87,87
임곡89,"89, 98, 1187"
임곡90,"75, 90"
임곡91,91
첨단92,"20, 20-1, 48, 49, 196, 196-1, 196-2"
송정93,93
첨단94,"20, 20-1, 48, 49, 94, 196, 196-1, 196-2"
첨단95,"05, 급행05"
송정96,"93, 96"
송정97,"95, 96-1"
송정98,"98, 98-1"
송정99,"63-1, 70, 70-1, 77, 93, 95, 170"
송정100,"93, 95"
선운101,"94, 97, 197"
지원152,"1003, 228"
대촌170,170
대촌171,"70, 70-1"
진월177,"77, 177"
두암181,
용전184,184
충효187,187
충효188,187-1
첨단192,190
첨단193,190
진곡196,"196, 196-1, 196-2"
송정197,"92, 197"
228,"228, 1003"
대촌270,"63-1, 70-1"
임곡290,"10-1, 89"
송정296,92
419,419
518,518
1187,1187
