구분,현 정류소,ID,변경정류소
동구,법원입구,1056,광주법원검찰역1번출구
동구,법원입구,1057,광주법원검찰역2번출구
동구,두암지구입구,1020,두암삼거리역2번출구
동구,두암지구입구,1021,두암삼거리역1번출구
동구,금남로5가역,1113,금남로5가역6번출구
동구,금남로5가역,1114,금남로5가역1번출구
동구,금남로4가역,1112,금남로4가역3번출구
동구,금남로4가역,1111,금남로4가역2번출구
동구,남광주사거리,1139,남광주역1번출구
동구,학동증심사입구역,1151,학동증심사입구역3번출구
동구,학동증심사입구역,1152,학동증심사입구역2번출구
동구,학2마을아파트,1157,학동증심사입구역1번출구
동구,소태역,1095,소태역1번출구
동구,소태역,1096,소태역4번출구
서구,한국은행,2241,시청역2번출구
서구,한국은행,2242,시청역1번출구
서구,한국수자원공사,2240,치평역2번출구
서구,한국수자원공사,2239,치평역1번출구
서구,상무중,2079,운천저수지역1번출구
서구,금호초교,2076,운천저수지역2번출구
서구,금호시영아파트,2009,금호역1번출구
서구,금호시영아파트,2010,금호역2번출구
서구,금호도개공아파트,2017,풍금사거리역1번출구
서구,금호도개공아파트,2018,풍금사거리역2번출구
서구,월드컵경기장정문,2439,월드컵경기장역
서구,월드컵경기장정문,2440,월드컵경기장역
서구,원광대한방병원,2251,풍암생활체육공원역1번출구
서구,원광대한방병원,2252,풍암생활체육공원역2번출구
서구,광천치안센터,2003,광천동우체국
서구,광천치안센터,2004,광천동우체국
서구,김대중컨벤션센터(마륵)역,2131,김대중컨벤션센터역3번출구
서구,김대중컨벤션센터(마륵)역,2132,김대중컨벤션센터역2번출구
서구,김대중컨벤션센터(마륵)역(북),2328,김대중컨벤션센터역5번출구
서구,상무역,2117,상무역2번출구
서구,상무역,2224,상무역3번출구
서구,상무역(북)(상무62),2362,상무역4번출구
서구,상무역(북),2343,상무역5번출구
서구,상무지구입구,2228,상무역6번출구
서구,상무지구입구,2081,상무역1번출구
서구,운천역,2073,운천역3번출구
서구,운천역,2087,운천역2번출구
서구,쌍촌역,2070,쌍촌역3번출구
서구,쌍촌역,2086,쌍촌역2번출구
서구,화정역,2296,화정역4번출구
서구,화정역,2282,화정역1번출구
서구,돌고개역(서),2042,돌고개역3번출구
서구,돌고개역(동),2164,돌고개역4번출구
남구,돌고개역(동),3362,돌고개역1번출구
남구,송암공단입구,3154,송암산단입구
남구,송암공단입구,3155,송암산단입구
남구,송암공단입구,3156,송암산단입구
남구,무등시장입구(남),3222,무등시장역1번출구
남구,무등시장입구(남),3211,무등시장역2번출구
남구,양림휴먼시아2차,3079,방림역1번출구
남구,양림휴먼시아2차,3078,방림역2번출구
남구,입암,3168,입암(남구)
남구,입암,3169,입암(남구)
북구,광주일고.광주고용센터,4512,금남로5가역4번출구
북구,광주일고.광주고용센터,4513,금남로5가역3번출구
북구,한국국토정보공사광주중부지사,4436,한국국토정보공사광주지사
북구,첨단2체육공원,4544,북구종합체육관
북구,첨단2체육공원,4645,북구종합체육관
북구,전남방직,4507,임동중흥어린이집
북구,전남방직,4508,임동중흥어린이집
북구,중앙여고,4451,금호중앙여고
북구,도로교통공단.대신파크,4379,한국도로교통공단
북구,도로교통공단.대신파크,4380,한국도로교통공단
북구,문흥고가,4180,문화육교
북구,문흥고가,4223,문화육교
북구,광주역육교,4540,광주역1번출구
북구,입암,4098,입암(북구)
광산구,도산역,5008,도산역2번출구
광산구,도산역,5009,도산역3번출구
광산구,광주송정역,5159,광주송정역1번출구
광산구,광주송정역,5158,광주송정역5번출구
광산구,광주송정역(동),5800,광주송정역2번출구
광산구,송정공원역,5149,송정공원역2번출구
광산구,송정공원역,5254,송정공원역4번출구
광산구,공항역,5203,공항역4번출구
광산구,공항역,5202,공항역6번출구
광산구,도촌저수지,5765,수월교사거리
광산구,도촌저수지,5766,수월교사거리
광산구,금강1길,5798,행복나루노인복지관
광산구,금강1길,5799,행복나루노인복지관
광산구,도산파출소,5006,도산지구대
광산구,도산파출소,5007,도산지구대
광산구,돈보스코학교,5936,하남고등학교
광산구,돈보스코학교,5964,하남고등학교
광산구,월곡초등학교,5724,꿈나눔어린이공원
광산구,월곡초등학교,5725,꿈나눔어린이공원
광산구,새한철강,5520,세고스광주공장
광산구,새한철강,5221,세고스광주공장
광산구,현대위아,5882,모비언트
광산구,현대위아,5883,모비언트
광산구,호남대,5265,호남대입구
광산구,호남대,5266,호남대입구
광산구,하남2지구,5752,시립하남도서관
광산구,하남2지구,5753,시립하남도서관
광산구,방송통신대,5434,첨단중학교
광산구,방송통신대,5433,첨단중학교
광산구,빛그린산단,5812,DH오토웨어
광산구,빛그린산단,5813,DH오토웨어
