구분,정류소
동구,계림2동행정복지센터
동구,산수동종점
동구,선교지구종점
동구,광주교대역1번출구
서구,광주체육회관
서구,에너지파크
남구,광주에너지산단지원센터
남구,인애종합사회복지관
남구,송화마을1단지
남구,압촌마을
남구,진남초교
남구,대촌119안전센터
남구,대촌IC
남구,대촌중학교
남구,도금마을회관
남구,맹간제
남구,전기차배터리시험센터
남구,백운광장역1번출구
남구,백운광장역2번출구
북구,광주과학기술원후문
북구,동림삼익아파트(북)
북구,동림초등학교
북구,광주애육원
북구,힐스테이트신용더리버후문
북구,샛터어린이공원
북구,신가2공원
북구,힐스테이트신용더리버정문
북구,신촌입구
북구,녹십자의료재단
북구,우산중학교
북구,참미르초등학교
북구,광주교대입구역2번출구
광산구,광주여대.시립유니버시아드체육관
광산구,내동
광산구,동산
광산구,두산공원
광산구,비아고속버스정류소
광산구,빛그린근린공원
광산구,석계
광산구,왕동저수지
광산구,요기동
광산구,운수교차로
광산구,운수초등학교
광산구,한국방송통신대학교
광산구,월계초등학교
광산구,천곡중학교
광산구,첨단공영차고지
광산구,평동3산단종점
광산구,평동3차화물공영차고지
광산구,풍영초등학교
광산구,호남대학교
광산구,현대교통
담양군,가산마을
담양군,구련
담양군,주평리
담양군,궁산리
담양군,담빛리
담양군,대방2구
담양군,두정리입구
담양군,문화마을
담양군,미산
담양군,수북농협
담양군,양우내안애
담양군,원궁산
담양군,원당
담양군,풍수리2구
장성군,첨단3지구제일풍경채
장성군,첨단3지구힐스테이트
