지역,구분,정류소명,ID,통폐합사유
동구,통폐합,계림사거리(서방사거리육교),1001(1010),정류소간 거리가 짧아(약120m) 통합운영합니다. (서방사거리육교 정류소는 폐지됩니다)
동구,통폐합,계림사거리(서방사거리육교),1002(1009),정류소간 거리가 짧아(약120m) 통합운영합니다. (서방사거리육교 정류소는 폐지됩니다)
동구,폐지,충장로5가입구,1132,이번 노선개편에서 해당 정류소에 노선이 경유하지 않습니다. (인근 금남로4가역 정류소를 이용해주세요)
동구,폐지,용산교(동구),1103,지원2동복지센터 방향 정류소만 운영됩니다. (인근 지원2동행정복지센터입구 정류소를 이용해주세요)
동구,폐지,가야농원,1092,지원2동복지센터 방향 정류소만 운영됩니다. (인근 소태역 정류소를 이용해주세요)
동구,폐지,빛고을복지회관,1701,지원2동복지센터 방향 정류소만 운영됩니다. (인근 광주남초교 정류소를 이용해주세요)
서구,통폐합,계수초교(상무한국아파트),2230(2229),정류소간 거리가 짧아(약45m) 통합운영합니다. (상무한국아파트 정류소는 폐지됩니다)
서구,폐지,월드컵경기장정문,"2439, 2440",도시철도 2호선 1단계 개통에 맞춰 새로운 노선과 함께 다시 운영될 예정입니다. (인근 월드컵경기장 정류소와 서구국민체육센터 정류소를 이용해주세요)
서구,폐지,월드컵경기장주차장,"2441, 2442",도시철도 2호선 1단계 개통에 맞춰 새로운 노선과 함께 다시 운영될 예정입니다. (인근 월드컵경기장 정류소와 서구국민체육센터 정류소를 이용해주세요)
북구,통폐합,오치한전(오치한전(북)),4377(4378),정류소간 거리가 짧아(약 120m) 통합운영합니다.
북구,폐지,첨단종점,4117,첨단차고지 이전에 따라 폐지됩니다. (인근 고내입구 정류소는 정상운영)
광산구,폐지,원예농협,"5538, 5539",이번 노선개편에서 해당 정류소에 노선이 경유하지 않습니다. (인근 금호전기 정류소를 이용해주세요)
광산구,폐지,KTX체육기지,5980,이번 노선개편에서 해당 정류소에 노선이 경유하지 않습니다. (인근 하남고등학교 정류소를 이용해주세요)
광산구,폐지,평동역(남),5862,이번 노선개편에서 해당 정류소에 노선이 경유하지 않습니다. (다른 평동역 정류소를 이용해주세요)
광산구,폐지,공항,5628,이번 노선개편에서 해당 정류소에 노선이 경유하지 않습니다. (인근 공항역 정류소를 이용해주세요)
광산구,이전,옥동차량기지,"5695, 5696",평동산단방향 광산생활환경종합센터(약100m)로 이전합니다.
