개편전번호,개편전방면,대체노선,개편후방면,개편전상행이맞닿는쪽,확인
일곡10,기본,간선22,기본,하행,2026-09-04 겹침 기준
첨단30,기본,간선25,기본,상행,2026-09-04 겹침 기준
지원52,기본,지선56,기본,하행,2026-09-04 겹침 기준
임곡90,기본,지선75,기본,하행,2026-09-04 겹침 기준
첨단92,기본,지선196,기본,상행,2026-09-04 겹침 기준
첨단92,기본,지선196-1,기본,하행,2026-09-04 겹침 기준
첨단92,기본,지선196-2,기본,하행,2026-09-04 겹침 기준
첨단94,기본,지선48,기본,상행,2026-09-04 겹침 기준
첨단94,기본,지선49,기본,상행,2026-09-04 겹침 기준
첨단94,기본,지선94,기본,하행,2026-09-04 겹침 기준
첨단94,기본,지선196,기본,상행,2026-09-04 겹침 기준
첨단94,기본,지선196-1,기본,상행,2026-09-04 겹침 기준
첨단94,기본,지선196-2,기본,하행,2026-09-04 겹침 기준
송정99,기본,지선95,기본,하행,2026-09-04 겹침 기준
송정100,기본,지선95,기본,하행,2026-09-04 겹침 기준
선운101,송산유원지,지선97,빛그린산단출근,상행,2026-09-04 겹침 기준
선운101,빛그린산단,지선97,빛그린산단출근,상행,2026-09-04 겹침 기준
대촌270,기본,지선70-1,기본,상행,2026-09-04 겹침 기준
